label	code	symbol
冠星-KY	4439	4439.TW
宜新實業	4440	4440.TW
振大環球	4441	4441.TW
東台	4526	4526.TW
瑞智	4532	4532.TW
拓凱	4536	4536.TW
全球傳動	4540	4540.TW
銘鈺	4545	4545.TW
智伸科	4551	4551.TW
力達-KY	4552	4552.TW
氣立	4555	4555.TW
永新-KY	4557	4557.TW
強信-KY	4560	4560.TW
穎漢	4562	4562.TW
元翎	4564	4564.TW
時碩工業	4566	4566.TW
六方科-KY	4569	4569.TW
鈞興-KY	4571	4571.TW
駐龍	4572	4572.TW
大銀微系統	4576	4576.TW
光隆精密-KY	4581	4581.TW
台灣精銳	4583	4583.TW
達明	4585	4585.TW
玖鼎電力	4588	4588.TW
富田-創	4590	4590.TW
德淵	4720	4720.TW
國精化	4722	4722.TW
泰博	4736	4736.TW
華廣	4737	4737.TW
康普	4739	4739.TW
台耀	4746	4746.TW
三福化	4755	4755.TW
材料*-KY	4763	4763.TW
雙鍵	4764	4764.TW
南寶	4766	4766.TW
上品	4770	4770.TW
望隼	4771	4771.TW
日成-KY	4807	4807.TW
遠傳	4904	4904.TW
正文	4906	4906.TW
聯德控股-KY	4912	4912.TW
致伸	4915	4915.TW
事欣科	4916	4916.TW
新唐	4919	4919.TW
泰鼎-KY	4927	4927.TW
燦星網	4930	4930.TW
太極	4934	4934.TW
茂林-KY	4935	4935.TW
和碩	4938	4938.TW
嘉彰	4942	4942.TW
康控-KY	4943	4943.TW
有成精密	4949	4949.TW
凌通	4952	4952.TW
光鋐	4956	4956.TW
臻鼎-KY	4958	4958.TW
誠美材	4960	4960.TW
天鈺	4961	4961.TW
十銓	4967	4967.TW
立積	4968	4968.TW
佳凌	4976	4976.TW
眾達-KY	4977	4977.TW
榮科	4989	4989.TW
傳奇	4994	4994.TW
鑫禾	4999	4999.TW
三星	5007	5007.TW
訊連	5203	5203.TW
科嘉-KY	5215	5215.TW
全訊	5222	5222.TW
東科-KY	5225	5225.TW
達興材料	5234	5234.TW
乙盛-KY	5243	5243.TW
弘凱	5244	5244.TW
虹堡	5258	5258.TW
祥碩	5269	5269.TW
禾聯碩	5283	5283.TW
jpp-KY	5284	5284.TW
界霖	5285	5285.TW
